copy_batch_id,source_path,destination_path,artifact_class,standards_body,spec_id,source_release_or_version,target_release_or_version,copy_method,copied_at,checksum_source,checksum_destination,verified,status,notes
planned-evidence-001,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/specs/tmforum_standards/CTK-TMF620-ProductCatalog/jsonResults.json,traceability/evidence_snapshots/tmf620-v4-ctk-jsonResults.json,ctk_results,TM Forum,TMF620,local v4 CTK,official v5 target pending,shutil.copy2,2026-06-05T01:07:07Z,c3f51f7b12aa4eec6c1e0d63f80fa965416bafa819c1d58fd8fdb344c57500f6,c3f51f7b12aa4eec6c1e0d63f80fa965416bafa819c1d58fd8fdb344c57500f6,true,copied,"High-priority evidence, copied and checksum verified"
planned-evidence-002,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/specs/tmforum_standards/CTK-TMF622-ProductOrdering/jsonResults.json,traceability/evidence_snapshots/tmf622-v4-ctk-jsonResults.json,ctk_results,TM Forum,TMF622,local v4 CTK,official v5 target pending,shutil.copy2,2026-06-05T01:07:07Z,71795aac347d5ac0ae2bbe30edb8c44f7adbee556285a74164c554abfdc1c1db,71795aac347d5ac0ae2bbe30edb8c44f7adbee556285a74164c554abfdc1c1db,true,copied,"High-priority evidence, copied and checksum verified"
planned-evidence-003,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/build_logs/stage13_tmf_ctk_conformance.md,build_logs/stage13_tmf_ctk_conformance.md,curated_evidence,TM Forum,TMF620;TMF622,local v4 CTK,official v5 target pending,shutil.copy2,2026-06-05T01:07:07Z,290d9e0af2477e0fa963782c9c91a2a3a8add6d044f13e2b68572b2a895cf87b,290d9e0af2477e0fa963782c9c91a2a3a8add6d044f13e2b68572b2a895cf87b,false,superseded_generated_log_removed,"High-priority evidence, copied and checksum verified; superseded because generated build logs are no longer tracked in the public tree"
planned-evidence-004,<SOURCE_5G_LAB_SIMULATOR_ROOT>/legacy-standalone-5g-emulator/spec-analysis/5_Live-Spec-Compliance-Test-Results.txt,traceability/evidence_snapshots/legacy-5g-emulator-live-spec-compliance-results.txt,live_compliance_evidence,3GPP;O-RAN,mixed,mixed,per release register,shutil.copy2,2026-06-05T01:07:07Z,e77fbf5fe912a68faf343e862eb1780a4dcc68e36419cda6ea3a90853af2b827,e77fbf5fe912a68faf343e862eb1780a4dcc68e36419cda6ea3a90853af2b827,true,copied,"High-value caveat artifact, copied and checksum verified"
planned-evidence-005,<SOURCE_5G_LAB_SIMULATOR_ROOT>/legacy-standalone-5g-emulator/spec-analysis/1_Spec-to-Code-Analysis.txt,traceability/requirements/legacy-5g-emulator-spec-to-code-analysis.txt,spec_to_code_analysis,3GPP;RFC,mixed,mixed,per release register,shutil.copy2,2026-06-05T01:07:07Z,6edd4b752386a77089f9a0959ef122575b044a8348b5ef94a7c7e804f503a245,6edd4b752386a77089f9a0959ef122575b044a8348b5ef94a7c7e804f503a245,true,copied,"High-value mapping artifact, copied and checksum verified; public tree redacts local absolute paths; checksum covers redacted artifact"
planned-evidence-006,<SOURCE_5G_LAB_SIMULATOR_ROOT>/tmforum_psr_learning/06_test_results.txt,traceability/evidence_snapshots/tmforum-psr-test-results.txt,learning_test_evidence,TM Forum,learning/spec tests,learning/spec tests,reference-only,shutil.copy2,2026-06-05T01:07:07Z,86ab9528dcca81d616859bbbe23017e119fcee648c39df2cbee24aa8ace48782,86ab9528dcca81d616859bbbe23017e119fcee648c39df2cbee24aa8ace48782,true,copied,"Supporting learning evidence, copied and checksum verified"
planned-evidence-007,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/specs/tmforum_standards/CTK-TMF641-ServiceOrdering/ctk/CTK-TMF641-ServiceOrdering-R18-5.postman_collection.json,traceability/evidence_snapshots/tmf641-r18.5-ctk-collection.json,ctk_collection,TM Forum,TMF641,R18.5 CTK collection,official current target pending,shutil.copy2,2026-06-05T01:26:50Z,5d1b8a420ce79f93ec658cf461f1c9b154f8be686d320d8e379394f9d342ffa4,5d1b8a420ce79f93ec658cf461f1c9b154f8be686d320d8e379394f9d342ffa4,true,copied,Evidence-only CTK collection; not a conformance result without execution output; copied and checksum verified
planned-evidence-008,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/specs/tmforum_standards/CTK-TMF641-ServiceOrdering/ctk/CTK-TMFENV-V3.0.0.postman_environment.json,traceability/evidence_snapshots/tmf641-r18.5-ctk-environment.json,ctk_environment,TM Forum,TMF641,CTK environment V3.0.0,official current target pending,shutil.copy2,2026-06-05T01:26:50Z,417946a27c90228d1b92bbe8ccb0c8631056522680d5852602880d464df31599,417946a27c90228d1b92bbe8ccb0c8631056522680d5852602880d464df31599,true,copied,Reproducibility evidence for CTK context; not a pass/fail result; copied and checksum verified
planned-evidence-009,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/specs/tmforum_standards/CTK-TMF641-ServiceOrdering/README.md,traceability/requirements/tmf641-ctk-readme.md,ctk_reference_doc,TM Forum,TMF641,local CTK README,reference-only,shutil.copy2,2026-06-05T01:26:50Z,567ab90d589da70f70f293e7ea1df59049e4c1047824578ad53948df928b391d,567ab90d589da70f70f293e7ea1df59049e4c1047824578ad53948df928b391d,true,copied,Reference/reproducibility doc; substituted for missing TMF641 PDF profile; copied and checksum verified
planned-evidence-010,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/specs/tmforum_standards/CTK-TMF638-ServiceInventory/ctk/CTK-TMF638-ServiceInventory-R18-5.postman_collection.json,traceability/evidence_snapshots/tmf638-r18.5-ctk-collection.json,ctk_collection,TM Forum,TMF638,R18.5 CTK collection,official current target pending,shutil.copy2,2026-06-05T01:26:50Z,b928d2263f6c8373ad17cb568826a20e1224e242a199d1b7d7cc180a4c836b93,b928d2263f6c8373ad17cb568826a20e1224e242a199d1b7d7cc180a4c836b93,true,copied,Coverage/gap evidence only; release register flags missing implementation; copied and checksum verified
planned-evidence-011,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/specs/tmforum_standards/CTK-TMF638-ServiceInventory-R18-0/ctk/CTK-TMF638-ServiceInventory-R18-5.postman_collection.json,traceability/evidence_snapshots/tmf638-r18-alt-ctk-collection.json,ctk_collection_variant,TM Forum,TMF638,R18 family CTK variant,official current target pending,shutil.copy2,2026-06-05T01:26:50Z,a45781147b884a8dab06645ca8ab044f1c7aa99a4a538d48b94ae14d7d153b94,a45781147b884a8dab06645ca8ab044f1c7aa99a4a538d48b94ae14d7d153b94,true,copied,Alternate R18-family collection; dedupe before any coverage claim; copied and checksum verified
planned-evidence-012,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/specs/tmforum_standards/CTK-TMF638-ServiceInventory-R16.5/ctk/TMForum.postman_environment.json,traceability/evidence_snapshots/tmf638-r16.5-ctk-environment.json,ctk_environment_legacy,TM Forum,TMF638,R16.5 CTK environment,historical/reference-only,shutil.copy2,2026-06-05T01:26:50Z,a8e358e4c224feb1c3e64e15359638cef979998fc54914599f6f0ab4c8dadee0,a8e358e4c224feb1c3e64e15359638cef979998fc54914599f6f0ab4c8dadee0,true,copied,Historical reference only; likely semantic drift vs R18/current; copied and checksum verified
